id,combo,source NP,premise,hypothesis,label
678,sub-int,their first real test,This is their first real test.,This is their first test.,non-entailment
679,sub-int,her only real bonus,This is her only real bonus.,This is her only bonus.,non-entailment
680,sub-int,her favorite European designer,He is her favorite European designer.,He is her favorite designer.,non-entailment
681,sub-int,her favorite European designer,He is her favorite European designer.,He is her European designer.,non-entailment
682,sub-int,her favorite European designer,He is her favorite European designer.,He is her designer.,non-entailment
683,sub-int,his only real alternative,This is his only real alternative.,This is his only alternative.,non-entailment
684,sub-int,her first real job,This is her first real job.,This is her first job.,non-entailment
685,sub-int,the company's only real problem,This is the company's only real problem.,This is the company's only problem.,non-entailment
686,sub-int,the first free republic,This is the first free republic.,This is the first republic.,non-entailment
687,sub-int,the only European luxury brand,This is the only European luxury brand.,This is the only luxury brand.,non-entailment
688,sub-int,the company's third full year,This is the company's third full year.,This is the company's third year.,non-entailment
689,sub-int,her favorite natural playground,This is her favorite natural playground.,This is her favorite playground.,non-entailment
690,sub-int,their first major American purchase,This is their first major American purchase.,This is their first major purchase.,non-entailment
691,sub-int,my favorite local restaurant,This is my favorite local restaurant.,This is my favorite restaurant.,non-entailment
692,sub-int,my favorite local restaurant,This is my favorite local restaurant.,This is my restaurant.,non-entailment
693,sub-int,the fifth consecutive annual decline,This is the fifth consecutive annual decline.,This is the fifth annual decline.,non-entailment
694,sub-int,the fifth consecutive annual decline,This is the fifth consecutive annual decline.,This is the fifth decline.,non-entailment
695,sub-sub,my new favorite movie,This is my new favorite movie.,This is my new movie.,non-entailment
696,sub-sub,my new favorite movie,This is my new favorite movie.,This is my movie.,non-entailment
697,sub-sub,my favorite new movie,This is my favorite new movie.,This is my new movie.,non-entailment
698,sub-sub,my favorite new movie,This is my favorite new movie.,This is my movie.,non-entailment
699,sub-sub,Japan's typical small homes,These are Japan's typical small homes.,These are Japan's typical homes.,non-entailment
700,sub-sub,their first annual review,This is their first annual review.,This is their first review.,non-entailment
701,sub-sub,their first professional position,This is their first professional position.,This is their first position.,non-entailment
702,sub-sub,his first big chance,This is his first big chance.,This is his first chance.,non-entailment
703,sub-sub,the only good thing,This is the only good thing.,This is the only thing.,non-entailment
704,sub-sub,his second young partner,She is his second young partner.,She is his second partner.,non-entailment
705,sub-sub,his first good look,This is his first good look.,This is his first look.,non-entailment
706,sub-sub,his favorite U.S. small business,This is his favorite U.S. small business.,This is his U.S. small business.,non-entailment
707,sub-sub,his favorite U.S. small business,This is his favorite U.S. small business.,This is his favorite small business.,non-entailment
708,sub-sub,his favorite U.S. small business,This is his favorite U.S. small business.,This is his favorite U.S. business.,non-entailment
709,sub-sub,the company's first new car franchise,This is the company's first new car franchise.,This is the company's first car franchise.,non-entailment
710,sub-sub,the first big wave,This is the first big wave.,This is the first wave.,non-entailment
711,sub-sub,its first national ad campaign,This is its first national ad campaign.,This is its first ad campaign.,non-entailment
712,sub-sub,the third big aluminum company,This is the third big aluminum company.,This is the third aluminum company.,non-entailment
713,sub-sub,the only professional instruction,This is the only professional instruction.,This is the only instruction.,non-entailment
714,sub-sub,the second most powerful man,He is the second most powerful man.,He is the second man.,non-entailment
715,sub-sub,the second most powerful man,He is the second most powerful man.,He is the most powerful man.,non-entailment
716,sub-sub,its second recent arbitration case,This is its second recent arbitration case.,This is its second arbitration case.,non-entailment
717,sub-sub,his first big gamble,This is his first big gamble.,This is his first gamble.,non-entailment
718,sub-sub,Quebecor's second big printing acquisition,This is Quebecor's second big printing acquisition.,This is Quebecor's second printing acquisition.,non-entailment
719,sub-sub,its first new series,This is its first new series.,This is its first series.,non-entailment
720,sub-sub,the only new music,This is the only new music.,This is the only music.,non-entailment
721,sub-sub,the only big losers,They are the only big losers.,They are the only losers.,non-entailment
722,sub-sub,my old best friend,She is my old best friend.,She is my best friend.,non-entailment
723,sub-sub,an amazing beginner drummer,She is an amazing beginner drummer.,She is an amazing drummer.,non-entailment
724,pri-pri,a likely next speaker,She is the likely next speaker.,She is the next speaker.,non-entailment
725,pri-pri,the likely future premier,He is the likely future premier.,He is the future premier.,non-entailment
726,pri-pri,the likely future premier,He is the likely future premier.,He is the premier.,non-entailment
727,pri-pri,a likely temporary destination,This is a likely temporary destination.,This is a temporary destination.,non-entailment
728,pri-pri,a likely temporary destination,This is a likely temporary destination.,This is a destination.,non-entailment
729,pri-pri,its expected future earnings,Those are its expected future earnings.,Those are its future earnings.,non-entailment
730,pri-pri,its expected future earnings,Those are its expected future earnings.,Those are its earnings.,non-entailment
731,pri-pri,an expected imminent attack,This is an expected imminent attack.,This is an attack.,non-entailment
732,pri-pri,past would-be reformers,They are past would-be reformers.,They are past reformers.,non-entailment
733,pri-pri,past would-be reformers,They are past would-be reformers.,They are would-be reformers.,non-entailment
734,pri-pri,past would-be reformers,They are past would-be reformers.,They are reformers.,non-entailment
735,pri-pri,the past half century,This is the past half century.,This is the past century.,non-entailment
736,pri-pri,the past half century,This is the past half century.,This is the century.,non-entailment
737,pri-pri,his past alleged misdeeds,Those are his past alleged misdeeds.,Those are his past misdeeds.,non-entailment
738,pri-pri,his past alleged misdeeds,Those are his past alleged misdeeds.,Those are his misdeeds.,non-entailment
739,pri-pri,a past unsuccessful candidate,He is a past unsuccessful candidate.,He is a candidate.,non-entailment
740,pri-pri,potential future victims,They are potential future victims.,They are future victims.,non-entailment
741,pri-pri,potential future victims,They are potential future victims.,They are victims.,non-entailment
742,pri-pri,the previous historic peak,This is the previous historic peak.,This is the historic peak.,non-entailment
743,pri-pri,the previous historic peak,This is the previous historic peak.,This is the peak.,non-entailment
744,pri-pri,a previous proposed deal,This is a previous proposed deal.,This is a previous deal.,non-entailment
745,pri-pri,the previous theoretical limit,This is the previous theoretical limit.,This is the theoretical limit.,non-entailment
746,pri-pri,the previous theoretical limit,This is the previous theoretical limit.,This is the limit.,non-entailment
747,pri-int,a fake rhinestone diamond,This is a fake rhinestone diamond.,This is a diamond.,non-entailment
748,pri-int,his future American wife,She is his future American wife.,She is his American wife.,non-entailment
749,pri-int,his future American wife,She is his future American wife.,She is his wife.,non-entailment
750,pri-int,an impossible long-term solution,This is an impossible long-term solution.,This is a long-term solution.,non-entailment
751,pri-sub,our previous top picks,Those are our previous top picks.,Those are our top picks.,non-entailment
752,pri-sub,our previous top picks,Those are our previous top picks.,Those are our picks.,non-entailment
753,pri-sub,its previous official deadline,This is its previous official deadline.,This is its official deadline.,non-entailment
754,pri-sub,its previous official deadline,This is its previous official deadline.,This is its deadline.,non-entailment
755,pri-sub,a previous federal law,This is a previous federal law.,This is a federal law.,non-entailment
756,pri-sub,a previous federal law,This is a previous federal law.,This is a law.,non-entailment
757,pri-sub,the previous federal government,It is the previous federal government.,It is the federal government.,non-entailment
758,pri-sub,the previous federal government,It is the previous federal government.,It is the government.,non-entailment
759,pri-sub,an arrogant former young genius,He is an arrogant former young genius.,He is an arrogant young genius.,non-entailment
760,pri-sub,an arrogant former young genius,He is an arrogant former young genius.,He is an arrogant genius.,non-entailment
761,int-sub,mental ill health,He is in mental ill health.,He is in mental health.,non-entailment
762,int-sub,mental ill health,He is in mental ill health.,He is in health.,non-entailment
763,sub-int,an early evening flight,This is an early evening flight.,This is an early flight.,non-entailment
764,sub-int,a late morning flight,This is a late morning flight.,This is a late flight.,non-entailment
765,sub-int,negative net income,They have negative net income.,They have net income.,non-entailment
766,sub-int,negative net income,They have negative net income.,They have income.,non-entailment
767,sub-int,the only practical choice,This is the only practical choice.,This is the only choice.,non-entailment
768,sub-sub,an awful good cook,She is an awful good cook.,She is an awful cook.,non-entailment
769,sub-sub,a pretty ugly divorce,This is a pretty ugly divorce.,This is a pretty divorce.,non-entailment
770,sub-sub,America's top amateur wrestler,He is America's top amateur wrestler.,He is America's top wrestler.,non-entailment
771,sub-sub,a top junior gymnast,She is a top junior gymnast.,She is a top gymnast.,non-entailment
772,sub-sub,Britain's top secondary schools,These are Britain's top secondary schools.,These are Britain's top schools.,non-entailment
773,sub-sub,July's average maximum temperature,This is July's average maximum temperature.,This is July's average temperature.,non-entailment
774,sub-sub,July's average maximum temperature,This is July's average maximum temperature.,This is July's maximum temperature.,non-entailment
775,pri-pri,the next would-be mogul,He is the next would-be mogul.,He is the next mogul.,non-entailment
776,pri-pri,the next would-be mogul,He is the next would-be mogul.,He is a mogul.,non-entailment
777,pri-pri,an almost impossible military assignment,This is an almost impossible military assignment.,This is an almost military assignment.,non-entailment
778,pri-pri,an almost impossible military assignment,This is an almost impossible military assignment.,This is an impossible military assignment.,non-entailment
779,pri-pri,an imminent partial shutdown,This is an imminent partial shutdown.,This is a shutdown.,non-entailment
780,pri-pri,a most plausible potential president,She is a most plausible potential president.,She is a most plausible president.,non-entailment
781,pri-pri,a fictional past relationship,This is a fictional past relationship.,This is a past relationship.,non-entailment
782,pri-pri,a deputy foreign vice minister,He is a deputy foreign vice minister.,He is a deputy foreign minister.,non-entailment
783,pri-pri,a deputy foreign vice minister,He is a deputy foreign vice minister.,He is a foreign minister.,non-entailment
784,pri-pri,the probable next CEO,She is the probable next CEO.,She is the next CEO.,non-entailment
785,pri-pri,the probable next CEO,She is the probable next CEO.,She is the CEO.,non-entailment
786,pri-pri,simulated mock executions,These are simulated mock executions.,These are executions.,non-entailment
787,pri-pri,possible later pregnancies,Those are possible later pregnancies.,Those are pregnancies.,non-entailment
788,pri-pri,possible faulty restorations,Those are possible faulty restorations.,Those are possible restorations.,non-entailment
789,pri-pri,possible faulty restorations,Those are possible faulty restorations.,Those are faulty restorations.,non-entailment
790,pri-pri,possible faulty restorations,Those are possible faulty restorations.,Those are restorations.,non-entailment
791,pri-pri,a wooden model airplane,This is a wooden model airplane.,This is an airplane.,non-entailment
792,pri-pri,a plausible future prime minister,He is a plausible future prime minister.,He is a future prime minister.,non-entailment
793,pri-pri,a plausible future prime minister,He is a plausible future prime minister.,He is a prime minister.,non-entailment
794,pri-pri,a possible incorrect declaration,This is a possible incorrect declaration.,This is an incorrect declaration.,non-entailment
795,pri-pri,a suspicious temporary license plate,This is a suspicious temporary license plate.,This is a temporary license plate.,non-entailment
796,pri-pri,a retired plastic surgeon,He is a retired plastic surgeon.,He is a surgeon.,non-entailment
797,pri-pri,an experimental artificial heart,This is an experimental artificial heart.,This is a heart.,non-entailment
798,pri-pri,a supposed potential terrorist,She is a supposed potential terrorist.,She is a terrorist.,non-entailment
799,pri-pri,a probable right-wing candidate,He is a probable right-wing candidate.,He is a right-wing candidate.,non-entailment
800,pri-pri,a probable right-wing candidate,He is a probable right-wing candidate.,He is a candidate.,non-entailment
801,pri-pri,Iraq's nominal future leadership,This is Iraq's nominal future leadership.,This is Iraq's nominal leadership.,non-entailment
802,pri-pri,Iraq's nominal future leadership,This is Iraq's nominal future leadership.,This is Iraq's leadership.,non-entailment
803,pri-pri,the future experimental vaccines,These are the future experimental vaccines.,These are the future vaccines.,non-entailment
804,pri-pri,the next would-be blockbuster,This is the next would-be blockbuster.,This is the next blockbuster.,non-entailment
805,pri-pri,the next would-be blockbuster,This is the next would-be blockbuster.,This is the blockbuster.,non-entailment
806,pri-pri,the deputy senior vice president,He is the deputy senior vice president.,He is the senior president.,non-entailment
807,pri-pri,his initial false pledge,This is his initial false pledge.,This is his initial pledge.,non-entailment
808,pri-pri,a proposed six-month partial ban,This is a proposed six-month partial ban.,This is a six-month partial ban.,non-entailment
809,pri-pri,a proposed six-month partial ban,This is a proposed six-month partial ban.,This is a six-month ban.,non-entailment
810,pri-pri,would-be future professionals,They are would-be future professionals.,They are professionals.,non-entailment
811,pri-pri,a possible later prosecution,This is a possible later prosecution.,This is a later prosecution.,non-entailment
812,pri-pri,a would-be next prime minister,She is the would-be next prime minister.,She is the next prime minister.,non-entailment
813,pri-pri,a would-be next prime minister,She is the would-be next prime minister.,She is the prime minister.,non-entailment
814,pri-pri,an apparent false statement,This is an apparent false statement.,This is an apparent statement.,non-entailment
815,pri-pri,failed initial public offerings,Those are failed initial public offerings.,Those are public offerings.,non-entailment
816,pri-pri,our next honorary mayor,He is our next honorary mayor.,He is our honorary mayor.,non-entailment
817,pri-pri,our next honorary mayor,He is our next honorary mayor.,He is our mayor.,non-entailment
818,pri-pri,uncertain potential legal liability,This is uncertain potential legal liability.,This is legal liability.,non-entailment
819,pri-pri,a historic former capital,This is a historic former capital.,This is a capital.,non-entailment
820,pri-pri,a plausible potential mayor,He is a plausible potential mayor.,He is a mayor.,non-entailment
821,pri-pri,the next probable champion,He is the next probable champion.,He is the champion.,non-entailment
822,pri-pri,the probable next president,He is the probable next president.,He is the next president.,non-entailment
823,pri-pri,the probable next president,He is the probable next president.,He is the president.,non-entailment
824,pri-pri,the next unlikely winner,He is the next unlikely winner.,He is the next winner.,non-entailment
825,pri-pri,the next unlikely winner,He is the next unlikely winner.,He is the winner.,non-entailment
826,pri-pri,a future would-be president,She is a future would-be president.,She is a future president.,non-entailment
827,pri-pri,a future would-be president,She is a future would-be president.,She is a president.,non-entailment
828,pri-pri,her onetime would-be mentor,He is her onetime would-be mentor.,He is her onetime mentor.,non-entailment
829,pri-pri,a would-be future French Open champion,She is a would-be future French Open champion.,She is a French Open champion.,non-entailment
830,pri-pri,unsuccessful would-be buyers,They are unsuccessful would-be buyers.,They are unsuccessful buyers.,non-entailment
831,pri-pri,a fictional former street urchin,This is a fictional former street urchin.,This is a former street urchin.,non-entailment
832,pri-pri,a fictional former street urchin,This is a fictional former street urchin.,This is a street urchin.,non-entailment
833,pri-pri,proposed future ministers,They are proposed future ministers.,They are future ministers.,non-entailment
834,pri-pri,proposed future ministers,They are proposed future ministers.,They are ministers.,non-entailment
835,pri-pri,Iraq's nominal future leadership,This is Iraq's nominal future leadership.,This is Iraq's nominal leadership.,non-entailment
836,pri-pri,a mythical Chinese stone monkey,This is a mythical Chinese stone monkey.,This is a mythical Chinese monkey.,non-entailment
837,pri-pri,a mythical Chinese stone monkey,This is a mythical Chinese stone monkey.,This is a Chinese monkey.,non-entailment
838,pri-pri,a putative future star,This is a putative future star.,This is a star.,non-entailment
839,pri-pri,the plausible next president,He is the plausible next president.,He is the next president.,non-entailment
840,pri-pri,the plausible next president,He is the plausible next president.,He is the president.,non-entailment
841,pri-pri,an imaginary future world currency,This is an imaginary future world currency.,This is a world currency.,non-entailment
842,pri-pri,an almost empty blue field,This is an almost empty blue field.,This is an empty blue field.,non-entailment
843,pri-pri,a onetime presumed front-runner,He is a onetime presumed front-runner.,He is a onetime front-runner.,non-entailment
844,pri-pri,an uncertain future benefit,This is an uncertain future benefit.,This is a benefit.,non-entailment
845,pri-pri,a questionable so-called health food,This is a questionable so-called healthy food.,This is a healthy food.,non-entailment
846,pri-pri,a retired super spy,He is a retired super spy.,He is a super spy.,non-entailment
847,pri-pri,A next probable foe,She is the next probable foe.,She is the next foe.,non-entailment
848,pri-pri,A next probable foe,She is the next probable foe.,She is a foe.,non-entailment
849,pri-pri,a fake honorary degree,This is a fake honorary degree.,This is an honorary degree.,non-entailment
850,pri-pri,a deputy senior vice president,He is a deputy senior vice president.,He is a deputy senior president.,non-entailment
851,pri-pri,a deputy senior vice president,He is a deputy senior vice president.,He is a senior vice president.,non-entailment
852,pri-pri,a deputy senior vice president,He is a deputy senior vice president.,He is a senior president.,non-entailment
853,pri-pri,the next would-be blockbuster,This is the next would-be blockbuster.,This is the next blockbuster.,non-entailment
854,pri-pri,the next would-be blockbuster,This is the next would-be blockbuster.,This is the blockbuster.,non-entailment
855,pri-pri,a fake wooden rifle,This is a fake wooden rifle.,This is a rifle.,non-entailment
856,pri-pri,a 19th-century wooden toy train,This is a 19th-century wooden toy train.,This is a 19th-century train.,non-entailment
857,pri-pri,imaginary future revenues,Those are imaginary future revenues.,Those are future revenues.,non-entailment
858,pri-pri,imaginary future revenues,Those are imaginary future revenues.,Those are future revenues.,non-entailment
859,pri-pri,a would-be Catholic deputy leader,He is a would-be Catholic deputy leader.,He is a Catholic deputy leader.,non-entailment
860,pri-pri,a would-be Catholic deputy leader,He is a would-be Catholic deputy leader.,He is a Catholic leader.,non-entailment
861,pri-pri,the probable next CEO,He is the probable next CEO.,He is the next CEO.,non-entailment
862,pri-pri,the probable next CEO,He is the probable next CEO.,He is the CEO.,non-entailment
863,pri-pri,simulated drowning executions,This is simulated drowning executions.,This is drowning executions.,non-entailment
864,pri-pri,a possible later pregnancy,This is a possible later pregnancy.,This is a later pregnancy.,non-entailment
865,pri-pri,a possible faulty restoration,This is a possible faulty restoration.,This is a faulty restoration.,non-entailment
866,pri-pri,improbable future catastrophes,These are improbable future catastrophes.,These are future catastrophes.,non-entailment
867,pri-pri,an unlikely initial success,This is an unlikely initial success.,This is an initial success.,non-entailment
868,pri-pri,an unlikely initial success,This is an unlikely initial success.,This is a success.,non-entailment
869,pri-pri,a retired naval admiral,He is a retired naval admiral.,He is a naval admiral.,non-entailment
870,pri-pri,the improbable future catastrophe,This is an improbable future catastrophe.,This is a future catastrophe.,non-entailment
871,pri-pri,a retired naval admiral,She is a retired naval admiral.,She is an admiral.,non-entailment
872,pri-pri,a deputy foreign vice minister,She is a deputy foreign vice minister.,She is a deputy foreign minister.,non-entailment
873,pri-pri,a deputy foreign vice minister,She is a deputy foreign vice minister.,She is a foreign minister.,non-entailment
874,pri-pri,his would-be next work,This is his would-be next work.,This is his next work.,non-entailment
875,pri-pri,an unlikely would-be assassin,This is an unlikely would-be assassin.,This is an assassin.,non-entailment
876,pri-pri,a mock wooden barrier,This is a mock wooden barrier.,This is a wooden barrier.,non-entailment
877,pri-pri,a false temporary Ukrainian passport,This is a false temporary Ukrainian passport.,This is a temporary Ukrainian passport.,non-entailment
878,pri-pri,a false temporary Ukrainian passport,This is a false temporary Ukrainian passport.,This is a Ukrainian passport.,non-entailment
879,pri-pri,a fake wooden sword,This is a fake wooden sword.,This is a sword.,non-entailment
880,pri-pri,a 69-year-old retired plastic surgeon,He is a 69-year-old retired plastic surgeon.,He is a 69-year-old plastic surgeon.,non-entailment
881,pri-pri,a 69-year-old retired plastic surgeon,He is a 69-year-old retired plastic surgeon.,He is a 69-year-old surgeon.,non-entailment
882,pri-pri,an unsuccessful proposed labor agreement,This is an unsuccessful proposed labor agreement.,This is an unsuccessful labor agreement.,non-entailment
883,pri-pri,an unsuccessful proposed labor agreement,This is an unsuccessful proposed labor agreement.,This is a labor agreement.,non-entailment
884,pri-pri,a probable center-right candidate,This is a probable center-right candidate.,This is a center-right candidate.,non-entailment
885,pri-pri,a theoretical future budget surplus,This is a theoretical future budget surplus.,This is a future budget surplus.,non-entailment
886,pri-pri,the initial half hour,This is the initial half hour.,This is the initial hour.,non-entailment
887,pri-pri,the initial half hour,This is the initial half hour.,This is the hour.,non-entailment
888,pri-pri,a fake honorary doctorate,This is a fake honorary doctorate.,This is an honorary doctorate.,non-entailment
889,pri-pri,a fake honorary doctorate,This is a fake honorary doctorate.,This is a doctorate.,non-entailment
890,pri-pri,a dubious potential leader,This is a dubious potential leader.,This is a leader.,non-entailment
891,pri-pri,the alleged dubious trading,This is alleged dubious trading.,This is dubious trading.,non-entailment
892,pri-pri,a retired former French diplomat,He is a retired former French diplomat.,He is a French diplomat.,non-entailment
893,pri-pri,a onetime alleged dirty-bomb plotter,He is a onetime alleged dirty-bomb plotter.,He is a onetime dirty-bomb plotter.,non-entailment
894,pri-pri,a onetime alleged dirty-bomb plotter,He is a onetime alleged dirty-bomb plotter.,He is a dirty-bomb plotter.,non-entailment
895,pri-pri,the initial half dozen countries,These are the initial half dozen countries.,These are the initial dozen countries.,non-entailment
896,pri-pri,the initial half dozen countries,These are the initial half dozen countries.,These are a dozen countries.,non-entailment
897,pri-pri,the presumed future leader,This is the presumed future leader.,This is the presumed leader.,non-entailment
898,pri-pri,the presumed future leader,This is the presumed future leader.,This is the future leader.,non-entailment
899,pri-pri,the presumed future leader,This is the presumed future leader.,This is the leader.,non-entailment
900,pri-pri,a retired black deputy sheriff,He is a retired black deputy sheriff.,He is a black deputy sheriff.,non-entailment
901,pri-pri,a possible imminent eruption,That is a possible imminent eruption.,That is an eruption.,non-entailment
902,pri-pri,the initial false declarations,These are the initial false declarations.,These are the initial declarations.,non-entailment
903,pri-pri,those presumed future contenders,They are those presumed future contenders.,They are those future contenders.,non-entailment
904,pri-pri,imminent potential reactions,These are imminent potential reactions.,These are imminent reactions.,non-entailment
905,pri-pri,future hypothetical threats,These are future hypothetical threats.,These are threats.,non-entailment
906,pri-pri,theoretical potential losses,Those are theoretical potential losses.,Those are losses.,non-entailment
907,pri-pri,a potential negative impact,He has a potential negative impact.,He has a negative impact.,non-entailment
908,pri-pri,a potential negative impact,He has a potential negative impact.,He has an impact.,non-entailment
909,pri-pri,an almost empty house,This is an almost empty house.,This is an empty house.,non-entailment
910,pri-sub,a supposed brief affair,This is a supposed brief affair.,This is a brief affair.,non-entailment
911,pri-sub,a hypothetical regional conflict,This is a hypothetical regional conflict.,This is a regional conflict.,non-entailment
912,pri-sub,a hypothetical regional conflict,This is a hypothetical regional conflict.,This is a conflict.,non-entailment
913,pri-sub,a supposed positive result,This is a supposed positive result.,This is a positive result.,non-entailment
914,pri-sub,dubious strategic importance,This is of dubious strategic importance.,This is of importance.,non-entailment
915,pri-sub,a presumed negative effect,This is a presumed negative effect.,This is a negative effect.,non-entailment
916,pri-sub,an artificial high return,This is an artificial high return.,This is a high return.,non-entailment
917,pri-sub,the supposed good guys,They are the supposed good guys.,They are the good guys.,non-entailment
918,pri-sub,a fictional national championship,It is a fictional national championship.,It is a championship.,non-entailment
919,pri-sub,a phony moral authority,They have a phony moral authority.,They have moral authority.,non-entailment
920,pri-sub,a phony moral authority,They have a phony moral authority.,They have authority.,non-entailment
921,pri-sub,a probable high position,This is a probable high position.,This is a high position.,non-entailment
922,pri-sub,the probable maximum loss,It is the probable maximum loss.,It is the maximum loss.,non-entailment
923,pri-sub,Ukrainian first vice prime minister,This is the Ukrainian first vice prime minister.,This is the Ukrainian first minister.,non-entailment
924,pri-sub,past official targets,They are past official targets.,They are official targets.,non-entailment
925,pri-sub,past official targets,They are past official targets.,They are targets.,non-entailment
926,pri-sub,a phony royal seal,This is a phony royal seal.,This is a royal seal.,non-entailment
927,pri-sub,the predicted annual economic growth,This is the predicted annual economic growth.,This is the annual economic growth.,non-entailment
928,pri-sub,a onetime domestic policy adviser,He is a onetime domestic policy adviser.,He is a domestic policy adviser.,non-entailment
929,pri-sub,a counterfeit new U.S. dollar,This is a counterfeit new U.S. dollar.,This is a U.S. dollar.,non-entailment
930,pri-sub,the predicted global economic turbulence,This is the predicted global economic turbulence.,This is the global economic turbulence.,non-entailment
931,pri-sub,a mock common admission test,This is a mock common admission test.,This is an admission test.,non-entailment
932,pri-sub,A would-be classic baseball game,This is A would-be classic baseball game.,This is a classic baseball game.,non-entailment
933,pri-sub,his presumed strong competitors,They are his presumed strong competitors.,They are his strong competitors.,non-entailment
934,pri-sub,a presumed short circuit,This is a presumed short circuit.,This is a short circuit.,non-entailment
935,pri-sub,a presumed common origin,They have a presumed common origin.,They have a common origin.,non-entailment
936,pri-sub,a retired federal lawyer,She is a retired federal lawyer.,She is a federal lawyer.,non-entailment
937,pri-sub,a retired federal lawyer,She is a retired federal lawyer.,She is a lawyer.,non-entailment
938,pri-sub,counterfeit modern bills,Those are counterfeit modern bills.,Those are modern bills.,non-entailment
939,pri-sub,counterfeit modern bills,Those are counterfeit modern bills.,Those are bills.,non-entailment
940,pri-sub,the next highest federal court,This is the next highest federal court.,This is the next highest court.,non-entailment
941,pri-sub,the next highest federal court,This is the next highest federal court.,This is the highest federal court.,non-entailment
942,pri-sub,the next highest federal court,This is the next highest federal court.,This is the highest court.,non-entailment
943,pri-sub,a forged medical professional license,This is a forged medical professional license.,This is a medical professional license.,non-entailment
944,pri-sub,a forged medical professional license,This is a forged medical professional license.,This is a medical license.,non-entailment
945,pri-sub,a would-be serious cook,She is a would-be serious cook.,She is a serious cook.,non-entailment
946,pri-sub,a would-be serious cook,She is a would-be serious cook.,She is a cook.,non-entailment
947,pri-sub,that last plausible independent candidate,He is the last plausible independent candidate.,He is the last independent candidate.,non-entailment
948,pri-sub,that last plausible independent candidate,He is the last plausible independent candidate.,He is the last candidate.,non-entailment
949,pri-sub,a seeming diplomatic breakthrough,This is a seeming diplomatic breakthrough.,This is a diplomatic breakthrough.,non-entailment
950,pri-sub,a hypothetical independent candidate,She is a hypothetical independent candidate.,She is a candidate.,non-entailment
951,pri-sub,a probable easy fix,This is a probable easy fix.,This is an easy fix.,non-entailment
952,pri-sub,a hypothetical ninth season,This is a hypothetical ninth season.,This is the ninth season.,non-entailment
953,pri-sub,an assumed annual inflation rate,This is an assumed annual inflation rate.,This is an annual inflation rate.,non-entailment
954,pri-sub,a retired prominent basketball player,This is a retired prominent basketball player.,This is a prominent basketball player.,non-entailment
955,pri-sub,a presumed front runner,This is a presumed front runner.,This is a front runner.,non-entailment
956,pri-sub,a fictitious coastal state,This is a fictitious coastal state.,This is a coastal state.,non-entailment
957,pri-sub,a fictitious coastal state,This is a fictitious coastal state.,This is a state.,non-entailment
958,pri-sub,a onetime musical director,He is a onetime musical director.,He is a director.,non-entailment
959,pri-sub,a would-be front runner,She is a would-be front runner.,She is a front runner.,non-entailment
960,pri-sub,a would-be front runner,She is a would-be front runner.,She is a runner.,non-entailment
961,pri-sub,a fictional common ancestor,She is a fictional common ancestor.,She is a common ancestor.,non-entailment
962,pri-sub,a fictional common ancestor,She is a fictional common ancestor.,She is an ancestor.,non-entailment
963,pri-sub,a mock early surrender,This is a mock early surrender.,This is an early surrender.,non-entailment
964,pri-sub,a mock early surrender,This is a mock early surrender.,This is a surrender.,non-entailment
965,pri-sub,past southern areas,Those are past southern areas.,Those are southern areas.,non-entailment
966,pri-sub,a probable third round meeting,This is a probable third-round meeting.,This is a third-round meeting.,non-entailment
967,pri-sub,an assumed presidential nominee,She is an assumed presidential nominee.,She is a presidential nominee.,non-entailment
968,pri-sub,a supposed key piece,This is a supposed key piece.,This is a key piece.,non-entailment
969,pri-sub,a would-be high roller,This is a would-be high roller.,This is a high roller.,non-entailment
970,pri-sub,the seeming easy access,This is a seeming easy access.,This is an easy access.,non-entailment
971,pri-sub,an unlikely high scorer,He is an unlikely high scorer.,He is an unlikely scorer.,non-entailment
972,pri-sub,fraudulent professional courtesies,These are fraudulent professional courtesies.,These are professional courtesies.,non-entailment
973,pri-sub,hypothetical legislative bills,These are hypothetical legislative bills.,These are legislative bills.,non-entailment
974,pri-sub,a forged diplomatic passport,He has a forged diplomatic passport.,He has a diplomatic passport.,non-entailment
975,pri-sub,a forged Iranian diplomatic passport,This is a forged Iranian diplomatic passport.,This is an Iranian diplomatic passport.,non-entailment
976,pri-sub,a forged Iranian diplomatic passport,This is a forged Iranian diplomatic passport.,This is an Iranian passport.,non-entailment
977,pri-sub,a presumed early rebel target,He is a presumed early rebel target.,He is an early rebel target.,non-entailment
978,pri-sub,a predicted average expenditure,This is a predicted average expenditure.,This is an average expenditure.,non-entailment
979,pri-sub,a Spanish first vice prime minister,She is the Spanish first vice prime minister.,She is the Spanish first prime minister.,non-entailment
980,pri-sub,a Spanish first vice prime minister,She is the Spanish first vice prime minister.,She is the Spanish first minister.,non-entailment
981,pri-sub,The probable maximum loss,This is The probable maximum loss.,This is The maximum loss.,non-entailment
982,pri-sub,the first vice prime minister,He is the first vice prime minister.,He is the first prime minister.,non-entailment
983,pri-sub,the first vice prime minister,He is the first vice prime minister.,He is the first minister.,non-entailment
984,pri-sub,the predicted annual economic growth,This is the predicted annual economic growth.,This is the annual economic growth.,non-entailment
985,pri-sub,the predicted annual economic growth,This is the predicted annual economic growth.,This is the economic growth.,non-entailment
986,pri-sub,a onetime domestic policy adviser,This is a onetime domestic policy adviser.,This is a domestic policy adviser.,non-entailment
